lemon,partOfSpeech,writtenForm (singular),writtenForm (plural),preposition,SyntacticFrame,copulativeArg,prepositionalAdjunct,sense,reference,domain,range,GrammarRule1:question1,SPARQL,GrammarRule1: question2,SPARQL Question 2,GrammarRule 1: questions,SPARQL ,NP (Grammar Rule 2),type,number of rules
deathDate-of,noun,death date,-,of,NounPPFrame,range,domain,1,dbo:deathDate,dbo:Person,xsd:date,"What (xsd:date, X) is the death date/- of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:deathDate ?X.},FALSE,FALSE,"List the (xsd:date, X) - of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:deathDate ?X.},"the death date of (dbo:Person,Y) ",Qald-7-training-dataset,2
recordLabel_of,noun,record label,record labels,of,NounPPFrame,range,domain,1,dbo:RecordLabel,dbo:Genre,xsd:string,"What (xsd:string, X) is the record label/record labels of (dbo:Genre,Y?) ",SELECT ?X WHERE { Y dbo:RecordLabel ?X.},FALSE,FALSE,"List the (xsd:string, X) record labels of (dbo:Genre,Y?) ",SELECT ?X WHERE { Y dbo:RecordLabel ?X.},"the record label of (dbo:Genre,Y) ",Qald-7-training-dataset,2
completionDate-of,noun,completion date,-,of,NounPPFrame,range,domain,1,dbo:completionDate,dbo:Ship,xsd:date,"What (xsd:date, X) is the completion date/- of (dbo:Ship,Y?) ",SELECT ?X WHERE { Y dbo:completionDate ?X.},FALSE,FALSE,"List the (xsd:date, X) - of (dbo:Ship,Y?) ",SELECT ?X WHERE { Y dbo:completionDate ?X.},"the completion date of (dbo:Ship,Y) ",Qald-7-training-dataset,2
numberOfPages-of,noun,number of pages,-,of,NounPPFrame,range,domain,1,dbo:numberOfPages,dbo:WrittenWork,xsd:positiveInteger,"What (xsd:positiveInteger, X) is the number of pages/- of (dbo:WrittenWork,Y?) ",SELECT ?X WHERE { Y dbo:numberOfPages ?X.},FALSE,FALSE,"List the (xsd:positiveInteger, X) - of (dbo:WrittenWork,Y?) ",SELECT ?X WHERE { Y dbo:numberOfPages ?X.},"the number of pages of (dbo:WrittenWork,Y) ",Qald-7-training-dataset,2
timeZone-of,noun,time zone,time zones,of,NounPPFrame,range,domain,1,dbo:timeZone,dbo:City,xsd:string,"What (xsd:string, X) is the time zone/time zones of (dbo:City,Y?) ",SELECT ?X WHERE { Y dbo:timeZone ?X.},FALSE,FALSE,"List the (xsd:string, X) time zones of (dbo:City,Y?) ",SELECT ?X WHERE { Y dbo:timeZone ?X.},"the time zone of (dbo:City,Y) ",Qald-7-training-dataset,2
areaCode_of,noun,area code,-,of,NounPPFrame,range,domain,1,dbo:areaCode,dbo:City,xsd:string,"What (xsd:string, X) is the area code/- of (dbo:City,Y?) ",SELECT ?X WHERE { Y dbo:areaCode ?X.},FALSE,FALSE,"List the (xsd:string, X) - of (dbo:City,Y?) ",SELECT ?X WHERE { Y dbo:areaCode ?X.},"the area code of (dbo:City,Y) ",Qald-7-training-dataset,2
nickname_of,noun,nickname,nicknames,of,NounPPFrame,range,domain,1,dbp:nickname,dbo:City,xsd:string,"What (xsd:string, X) is the nickname/nicknames of (dbo:City,Y?) ",SELECT ?X WHERE { Y dbp:nickname ?X.},FALSE,FALSE,"List the (xsd:string, X) nicknames of (dbo:City,Y?) ",SELECT ?X WHERE { Y dbp:nickname ?X.},"the nickname of (dbo:City,Y) ",Qald-7-training-dataset,2
party-of,noun,party,parties,of,NounPPFrame,range,domain,1,dbo:party,dbo:Politician,xsd:string,"What (xsd:string, X) is the party/parties of (dbo:Politician,Y?) ",SELECT ?X WHERE { Y dbo:party ?X.},FALSE,FALSE,"List the (xsd:string, X) parties of (dbo:Politician,Y?) ",SELECT ?X WHERE { Y dbo:party ?X.},"the party of (dbo:Politician,Y) ",Qald-7-training-dataset,2
president-of,noun,president,presidents,of,NounPPFrame,range,domain,1,dbo:office,dbo:Person,xsd:string,"What (xsd:string, X) is the president/presidents of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:office ?X.},FALSE,FALSE,"List the (xsd:string, X) presidents of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:office ?X.},"the president of (dbo:Person,Y) ",Qald-7-training-dataset,2
elevation-of,noun,elevation,-,of,NounPPFrame,range,domain,1,dbo:elevation,dbo:Mountain,xsd:double,"What (xsd:double, X) is the elevation/- of (dbo:Mountain,Y?) ",SELECT ?X WHERE { Y dbo:elevation ?X.},FALSE,FALSE,"List the (xsd:double, X) - of (dbo:Mountain,Y?) ",SELECT ?X WHERE { Y dbo:elevation ?X.},"the elevation of (dbo:Mountain,Y) ",Qald-7-training-dataset,2
foundingYear_of,noun,founding year,-,of,NounPPFrame,range,domain,1,dbo:foundingYear,dbo:Company,xsd:gYear,"What (xsd:gYear, X) is the founding year/- of (dbo:Company,Y?) ",SELECT ?X WHERE { Y dbo:foundingYear ?X.},FALSE,FALSE,"List the (xsd:gYear, X) - of (dbo:Company,Y?) ",SELECT ?X WHERE { Y dbo:foundingYear ?X.},"the founding year of (dbo:Company,Y) ",Qald-7-training-dataset,2
restingPlace-of,noun,resting place,-,of,NounPPFrame,range,domain,1,dbo:restingPlace,dbo:Person,xsd:string,"What (xsd:string, X) is the resting place/- of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:restingPlace ?X.},FALSE,FALSE,"List the (xsd:string, X) - of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:restingPlace ?X.},"the resting place of (dbo:Person,Y) ",Qald-7-training-dataset,2
artisticMovement_of,noun,artistic movement,artistic movements,of,NounPPFrame,range,domain,1,dbo:movement,dbo:Artist,owl:Thing,"What (owl:Thing, X) is the artistic movement/artistic movements of (dbo:Artist,Y?) ",SELECT ?X WHERE { Y dbo:movement ?X.},FALSE,FALSE,"List the (owl:Thing, X) artistic movements of (dbo:Artist,Y?) ",SELECT ?X WHERE { Y dbo:movement ?X.},"the artistic movement of (dbo:Artist,Y) ",Qald-7-training-dataset,2
first_to_climb,noun,first to climb,-,X,NounPPFrame,range,domain,1,dbo:firstAscentPerson,dbo:Mountain,dbo:Person,"What (dbo:Person, X) is the first to climb/- X (dbo:Mountain,Y?) ",SELECT ?X WHERE { Y dbo:firstAscentPerson ?X.},"Who (dbo:Person, X) is the first to climb X (dbo:Mountain,Y?) (X dbo:firstAscentPerson Y)",SELECT ?X WHERE { Y dbo:firstAscentPerson ?X.},"List the (dbo:Person, X) - X (dbo:Mountain,Y?) ",SELECT ?X WHERE { Y dbo:firstAscentPerson ?X.},"the first to climb X (dbo:Mountain,Y) ",Qald-7-training-dataset,2
music_by,noun,music,musics,by,NounPPFrame,domain,range,1,dbo:musicBy,dbo:Person,dbo:Musical,"What ( dbo:Person,X) is the music/musics by (dbo:Musical,Y)? ",SELECT ?X WHERE { ?X dbo:musicBy Y.},"Who ( dbo:Person,X) is the music by (dbo:Musical,Y)? (Y dbo:musicBy X)",SELECT ?X WHERE { ?X dbo:musicBy Y.},"List the ( dbo:Person,X)musics by (dbo:Musical,Y)? ",SELECT ?X WHERE { ?X dbo:musicBy Y.},"the music by (dbo:Musical,Y) ",Qald-7-training-dataset,2
wife-of,noun,wife,wives,of,NounPPFrame,range,domain,1,dbo:spouse,dbo:Person,dbo:Person,"What (dbo:Person, X) is the wife/wives of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:spouse ?X.},"Who (dbo:Person, X) is the wife of (dbo:Person,Y?) (X dbo:spouse Y)",SELECT ?X WHERE { Y dbo:spouse ?X.},"List the (dbo:Person, X) wives of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:spouse ?X.},"the wife of (dbo:Person,Y) ",Qald-7-training-dataset,2
host_of,noun,host,hosts,of,NounPPFrame,range,domain,1,dbo:presenter,dbo:TelevisionShow,dbo:Person,"What (dbo:Person, X) is the host/hosts of (dbo:TelevisionShow,Y?) ",SELECT ?X WHERE { Y dbo:presenter ?X.},"Who (dbo:Person, X) is the host of (dbo:TelevisionShow,Y?) (X dbo:presenter Y)",SELECT ?X WHERE { Y dbo:presenter ?X.},"List the (dbo:Person, X) hosts of (dbo:TelevisionShow,Y?) ",SELECT ?X WHERE { Y dbo:presenter ?X.},"the host of (dbo:TelevisionShow,Y) ",Qald-7-training-dataset,2
largest_country_in,noun,largest country,-,of,NounPPFrame,range,domain,1,dbo:areaTotal,dbo:Country,dbo:Country,"What (dbo:Country, X) is the largest country/- of (dbo:Country,Y?) ",SELECT ?X WHERE { Y dbo:areaTotal ?X.},FALSE,FALSE,"List the (dbo:Country, X) - of (dbo:Country,Y?) ",SELECT ?X WHERE { Y dbo:areaTotal ?X.},"the largest country of (dbo:Country,Y) ",Qald-7-training-dataset,2
mayor_of_1,noun,mayor,mayors,of,NounPPFrame,range,domain,1,dbo:mayor,dbo:Settlement/dbo:City,dbo:Person,"What (dbo:Person, X) is the mayor/mayors of (dbo:Settlement/dbo:City,Y?) ",SELECT ?X WHERE { Y dbo:mayor ?X.},"Who (dbo:Person, X) is the mayor of (dbo:Settlement/dbo:City,Y?) (X dbo:mayor Y)",SELECT ?X WHERE { Y dbo:mayor ?X.},"List the (dbo:Person, X) mayors of (dbo:Settlement/dbo:City,Y?) ",SELECT ?X WHERE { Y dbo:mayor ?X.},"the mayor of (dbo:Settlement/dbo:City,Y) ",Qald-7-training-dataset,2
mayor_of_2,noun,mayor,mayors,of,NounPPFrame,range,domain,1,dbo:leaderName,dbo:City,dbo:Person,"What (dbo:Person, X) is the mayor/mayors of (dbo:City,Y?) ",SELECT ?X WHERE { Y dbo:leaderName ?X.},"Who (dbo:Person, X) is the mayor of (dbo:City,Y?) (X dbo:leaderName Y)",SELECT ?X WHERE { Y dbo:leaderName ?X.},"List the (dbo:Person, X) mayors of (dbo:City,Y?) ",SELECT ?X WHERE { Y dbo:leaderName ?X.},"the mayor of (dbo:City,Y) ",Qald-7-training-dataset,2
coach_of,noun,coach,coaches,of,NounPPFrame,range,domain,1,dbo:coach,dbo:IceHockeyLeague,dbo:Person,"What (dbo:Person, X) is the coach/coaches of (dbo:IceHockeyLeague,Y?) ",SELECT ?X WHERE { Y dbo:coach ?X.},"Who (dbo:Person, X) is the coach of (dbo:IceHockeyLeague,Y?) (X dbo:coach Y)",SELECT ?X WHERE { Y dbo:coach ?X.},"List the (dbo:Person, X) coaches of (dbo:IceHockeyLeague,Y?) ",SELECT ?X WHERE { Y dbo:coach ?X.},"the coach of (dbo:IceHockeyLeague,Y) ",Qald-7-training-dataset,2
birthPlace_of,noun,birth place,-,of,NounPPFrame,range,domain,1,dbo:birthPlace,dbo:Person,dbo:Country,"What (dbo:Country, X) is the birth place/- of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:birthPlace ?X.},FALSE,FALSE,"List the (dbo:Country, X) - of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:birthPlace ?X.},"the birth place of (dbo:Person,Y) ",Qald-7-training-dataset,2
location-of_1,noun,location,-,of,NounPPFrame,range,domain,1,dbo:location,dbo:Place,dbo:Place,"What (dbo:Place, X) is the location/- of (dbo:Place,Y?) ",SELECT ?X WHERE { Y dbo:location ?X.},FALSE,FALSE,"List the (dbo:Place, X) - of (dbo:Place,Y?) ",SELECT ?X WHERE { Y dbo:location ?X.},"the location of (dbo:Place,Y) ",Qald-7-training-dataset,2
location-of_2,noun,location,-,of,NounPPFrame,range,domain,1,dbo:locatedInArea,dbo:Mountain,dbo:Country,"What (dbo:Country, X) is the location/- of (dbo:Mountain,Y?) ",SELECT ?X WHERE { Y dbo:locatedInArea ?X.},FALSE,FALSE,"List the (dbo:Country, X) - of (dbo:Mountain,Y?) ",SELECT ?X WHERE { Y dbo:locatedInArea ?X.},"the location of (dbo:Mountain,Y) ",Qald-7-training-dataset,2
officialLanguage-of,noun,official language,official languages,of,NounPPFrame,range,domain,1,dbo:officialLanguage,dbo:Country,dbo:Language,"What (dbo:Language, X) is the official language/official languages of (dbo:Country,Y?) ",SELECT ?X WHERE { Y dbo:officialLanguage ?X.},FALSE,FALSE,"List the (dbo:Language, X) official languages of (dbo:Country,Y?) ",SELECT ?X WHERE { Y dbo:officialLanguage ?X.},"the official language of (dbo:Country,Y) ",Qald-7-training-dataset,2
ingredient_of,noun,ingredient,ingredients,of,NounPPFrame,range,domain,1,dbo:ingredient,dbo:Food,owl:Thing,"What (owl:Thing, X) is the ingredient/ingredients of (dbo:Food,Y?) ",SELECT ?X WHERE { Y dbo:ingredient ?X.},FALSE,FALSE,"List the (owl:Thing, X) ingredients of (dbo:Food,Y?) ",SELECT ?X WHERE { Y dbo:ingredient ?X.},"the ingredient of (dbo:Food,Y) ",Qald-7-training-dataset,2
largestCity_of,noun,largest city,-,of,NounPPFrame,range,domain,1,dbo:largestCity,dbo:Country,dbo:City,"What (dbo:City, X) is the largest city/- of (dbo:Country,Y?) ",SELECT ?X WHERE { Y dbo:largestCity ?X.},FALSE,FALSE,"List the (dbo:City, X) - of (dbo:Country,Y?) ",SELECT ?X WHERE { Y dbo:largestCity ?X.},"the largest city of (dbo:Country,Y) ",Qald-7-training-dataset,2
programmingLanguage_of,noun,programming language,programming languages,of,NounPPFrame,range,domain,1,dbo:programmingLanguage,dbo:Work,dbo:Language,"What (dbo:Language, X) is the programming language/programming languages of (dbo:Work,Y?) ",SELECT ?X WHERE { Y dbo:programmingLanguage ?X.},FALSE,FALSE,"List the (dbo:Language, X) programming languages of (dbo:Work,Y?) ",SELECT ?X WHERE { Y dbo:programmingLanguage ?X.},"the programming language of (dbo:Work,Y) ",Qald-7-training-dataset,2
editor_of,noun,editor,editors,of,NounPPFrame,range,domain,1,dbo:editor,dbo:Work,dbo:Person,"What (dbo:Person, X) is the editor/editors of (dbo:Work,Y?) ",SELECT ?X WHERE { Y dbo:editor ?X.},"Who (dbo:Person, X) is the editor of (dbo:Work,Y?) (X dbo:editor Y)",SELECT ?X WHERE { Y dbo:editor ?X.},"List the (dbo:Person, X) editors of (dbo:Work,Y?) ",SELECT ?X WHERE { Y dbo:editor ?X.},"the editor of (dbo:Work,Y) ",Qald-7-training-dataset,2
capital-of,noun,capital,-,of,NounPPFrame,range,domain,1,dbo:capital,dbo:Country,dbo:City,"What (dbo:City, X) is the capital/- of (dbo:Country,Y?) ",SELECT ?X WHERE { Y dbo:capital ?X.},FALSE,FALSE,"List the (dbo:City, X) - of (dbo:Country,Y?) ",SELECT ?X WHERE { Y dbo:capital ?X.},"the capital of (dbo:Country,Y) ",Qald-7-training-dataset,2
child_of,noun,child,children,of,NounPPFrame,range,domain,1,dbo:child,dbo:Person,dbo:Person,"What (dbo:Person, X) is the child/children of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:child ?X.},"Who (dbo:Person, X) is the child of (dbo:Person,Y?) (X dbo:child Y)",SELECT ?X WHERE { Y dbo:child ?X.},"List the (dbo:Person, X) children of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:child ?X.},"the child of (dbo:Person,Y) ",Qald-7-training-dataset,2
nationality_of,noun,nationality,-,of,NounPPFrame,range,domain,1,dbo:nationality,dbo:Person,dbo:Country,"What (dbo:Country, X) is the nationality/- of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:nationality ?X.},FALSE,FALSE,"List the (dbo:Country, X) - of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:nationality ?X.},"the nationality of (dbo:Person,Y) ",Qald-7-training-dataset,2
alterEgo-of,noun,alter ego,-,of,NounPPFrame,range,domain,1,dbp:alterEgo,dbo:ComicsCharacter,dbo:Person/xsd:string,"What (dbo:Person/xsd:string, X) is the alter ego/- of (dbo:ComicsCharacter,Y?) ",SELECT ?X WHERE { Y dbp:alterEgo ?X.},FALSE,FALSE,"List the (dbo:Person/xsd:string, X) - of (dbo:ComicsCharacter,Y?) ",SELECT ?X WHERE { Y dbp:alterEgo ?X.},"the alter ego of (dbo:ComicsCharacter,Y) ",Qald-7-training-dataset,2
formOfGovernment-of,noun,form of government,-,of,NounPPFrame,range,domain,1,dbo:governmentType,dbo:Country,dbo:Country,"What (dbo:Country, X) is the form of government/- of (dbo:Country,Y?) ",SELECT ?X WHERE { Y dbo:governmentType ?X.},FALSE,FALSE,"List the (dbo:Country, X) - of (dbo:Country,Y?) ",SELECT ?X WHERE { Y dbo:governmentType ?X.},"the form of government of (dbo:Country,Y) ",Qald-7-training-dataset,2
wine_region_of,noun,wine region,wine regions,of,NounPPFrame,range,domain,1,dbo:wineRegion,dbo:Grape,dbo:Place,"What (dbo:Place, X) is the wine region/wine regions of (dbo:Grape,Y?) ",SELECT ?X WHERE { Y dbo:wineRegion ?X.},FALSE,FALSE,"List the (dbo:Place, X) wine regions of (dbo:Grape,Y?) ",SELECT ?X WHERE { Y dbo:wineRegion ?X.},"the wine region of (dbo:Grape,Y) ",Qald-7-training-dataset,2
loyalty,noun,loyalty,loyalties,X,NounPPFrame,range,domain,1,dbo:connotation,dbo:Loyalty,dbo:Color,"What (dbo:Color, X) is the loyalty/loyalties X (dbo:Loyalty,Y?) ",SELECT ?X WHERE { Y dbo:connotation ?X.},FALSE,FALSE,"List the (dbo:Color, X) loyalties X (dbo:Loyalty,Y?) ",SELECT ?X WHERE { Y dbo:connotation ?X.},"the loyalty X (dbo:Loyalty,Y) ",Qald-7-training-dataset,2
Leader-of-1,noun,leader,leaders,of,NounPPFrame,range,domain,1,dbo:leader,dbo:Legislature,dbo:Organisation/dbo:Royalty,"What (dbo:Organisation/dbo:Royalty, X) is the leader/leaders of (dbo:Legislature,Y?) ",SELECT ?X WHERE { Y dbo:leader ?X.},FALSE,FALSE,"List the (dbo:Organisation/dbo:Royalty, X) leaders of (dbo:Legislature,Y?) ",SELECT ?X WHERE { Y dbo:leader ?X.},"the leader of (dbo:Legislature,Y) ",Qald-7-training-dataset,2
vice_president_of,noun,vice president,vice president,of,NounPPFrame,range,domain,1,dbo:vicePresident,dbo:Politician,dbo:Politician,"What (dbo:Politician, X) is the vice president/vice president of (dbo:Politician,Y?) ",SELECT ?X WHERE { Y dbo:vicePresident ?X.},FALSE,FALSE,"List the (dbo:Politician, X) vice president of (dbo:Politician,Y?) ",SELECT ?X WHERE { Y dbo:vicePresident ?X.},"the vice president of (dbo:Politician,Y) ",Qald-7-training-dataset,2
musicComposer-of,noun,music composer,music composers,of,NounPPFrame,range,domain,1,dbo:musicComposer,dbo:TelevisionShow,dbo:Person,"What (dbo:Person, X) is the music composer/music composers of (dbo:TelevisionShow,Y?) ",SELECT ?X WHERE { Y dbo:musicComposer ?X.},"Who (dbo:Person, X) is the music composer of (dbo:TelevisionShow,Y?) (X dbo:musicComposer Y)",SELECT ?X WHERE { Y dbo:musicComposer ?X.},"List the (dbo:Person, X) music composers of (dbo:TelevisionShow,Y?) ",SELECT ?X WHERE { Y dbo:musicComposer ?X.},"the music composer of (dbo:TelevisionShow,Y) ",Qald-7-training-dataset,2
currency_of,noun,currency,currencies,of,NounPPFrame,range,domain,1,dbo:currency,dbo:Country,dbo:Currency,"What (dbo:Currency, X) is the currency/currencies of (dbo:Country,Y?) ",SELECT ?X WHERE { Y dbo:currency ?X.},FALSE,FALSE,"List the (dbo:Currency, X) currencies of (dbo:Country,Y?) ",SELECT ?X WHERE { Y dbo:currency ?X.},"the currency of (dbo:Country,Y) ",Qald-7-training-dataset,2
developer_of,noun,developer,developers,of,NounPPFrame,range,domain,1,dbo:developer,dbo:Work,dbo:Agent,"What (dbo:Agent, X) is the developer/developers of (dbo:Work,Y?) ",SELECT ?X WHERE { Y dbo:developer ?X.},FALSE,FALSE,"List the (dbo:Agent, X) developers of (dbo:Work,Y?) ",SELECT ?X WHERE { Y dbo:developer ?X.},"the developer of (dbo:Work,Y) ",Qald-7-training-dataset,2
deathPlace,noun,death place,-,of,NounPPFrame,range,domain,1,dbo:deathPlace,dbo:Politician,dbo:Place,"What (dbo:Place, X) is the death place/- of (dbo:Politician,Y?) ",SELECT ?X WHERE { Y dbo:deathPlace ?X.},FALSE,FALSE,"List the (dbo:Place, X) - of (dbo:Politician,Y?) ",SELECT ?X WHERE { Y dbo:deathPlace ?X.},"the death place of (dbo:Politician,Y) ",Qald-7-training-dataset,2
father_of,noun,father,-,of,NounPPFrame,range,domain,1,dbp:father,dbo:Royalty,dbo:Person,"What (dbo:Person, X) is the father/- of (dbo:Royalty,Y?) ",SELECT ?X WHERE { Y dbp:father ?X.},"Who (dbo:Person, X) is the father of (dbo:Royalty,Y?) (X dbp:father Y)",SELECT ?X WHERE { Y dbp:father ?X.},"List the (dbo:Person, X) - of (dbo:Royalty,Y?) ",SELECT ?X WHERE { Y dbp:father ?X.},"the father of (dbo:Royalty,Y) ",Qald-7-training-dataset,2
producer-of,noun,producer,producers,of,NounPPFrame,range,domain,1,dbo:producer,dbo:Film,dbo:Company,"What (dbo:Company, X) is the producer/producers of (dbo:Film,Y?) ",SELECT ?X WHERE { Y dbo:producer ?X.},FALSE,FALSE,"List the (dbo:Company, X) producers of (dbo:Film,Y?) ",SELECT ?X WHERE { Y dbo:producer ?X.},"the producer of (dbo:Film,Y) ",Qald-7-training-dataset,2
foundationPlace_of,noun,foundation place,-,of,NounPPFrame,range,domain,1,dbo:foundationPlace,dbo:Company,dbo:City,"What (dbo:City, X) is the foundation place/- of (dbo:Company,Y?) ",SELECT ?X WHERE { Y dbo:foundationPlace ?X.},FALSE,FALSE,"List the (dbo:City, X) - of (dbo:Company,Y?) ",SELECT ?X WHERE { Y dbo:foundationPlace ?X.},"the foundation place of (dbo:Company,Y) ",Qald-7-training-dataset,2
influencer_of,noun,influencer,influencers,of,NounPPFrame,range,domain,1,dbo:influenced,dbo:Person,dbo:Person,"What (dbo:Person, X) is the influencer/influencers of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:influenced ?X.},"Who (dbo:Person, X) is the influencer of (dbo:Person,Y?) (X dbo:influenced Y)",SELECT ?X WHERE { Y dbo:influenced ?X.},"List the (dbo:Person, X) influencers of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:influenced ?X.},"the influencer of (dbo:Person,Y) ",Qald-7-training-dataset,2
